epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall,,,f1
0,0.840559304,0.74088037,0.159462646,1.00E-04,0.845977426,0.896762431,0.35183686,0.218138695,0.645607531,0.347926825,0.358061373,,,0.352921358
1,0.909356654,0.840147018,0.090661705,1.00E-04,0.913187683,0.931361318,0.523922324,0.362955034,0.476301521,0.373749375,0.899866641,,,0.528141277
2,0.93775028,0.885662675,0.062274154,1.00E-04,0.937694073,0.953587174,0.871074796,0.781974673,0.129733562,0.804499805,0.973158121,,,0.880828091
3,0.951977611,0.910234928,0.048030768,1.00E-04,0.951278329,0.964738429,0.897858679,0.823700964,0.103229098,0.846917033,0.973818839,,,0.905945529
4,0.962772191,0.929332435,0.037223469,1.00E-04,0.960894465,0.972435713,0.932038963,0.87547183,0.068547234,0.937059104,0.935479581,,,0.936268677
5,0.968754768,0.940201163,0.0312282,1.00E-04,0.96773082,0.976041317,0.937472105,0.885111392,0.062997706,0.931095004,0.951889575,,,0.941377468
6,0.973993361,0.949809968,0.02600638,1.00E-04,0.972971261,0.979958713,0.940623164,0.890424311,0.059955899,0.936810493,0.953604043,,,0.945132675
7,0.977377295,0.956136167,0.022620695,1.00E-04,0.976848006,0.982431114,0.945584059,0.899149656,0.054604422,0.953613639,0.947831154,,,0.950713604
8,0.980039716,0.961135626,0.019955304,1.00E-04,0.979795933,0.984273195,0.937821746,0.886001766,0.062380213,0.933473349,0.95076561,,,0.942040131
9,0.980728865,0.962422967,0.019266108,1.00E-04,0.980528533,0.984885812,0.935930669,0.882805467,0.064571038,0.915359139,0.96535033,,,0.939690326
10,0.960130692,0.925713897,0.039889246,1.00E-04,0.961819589,0.964236677,0.935750186,0.881909311,0.063959137,0.939960837,0.941053987,,,0.940507094
11,0.979913116,0.960864127,0.020082464,1.00E-04,0.979644716,0.983362377,0.944503307,0.897141337,0.05534387,0.94908607,0.949057758,,,0.949071914
12,0.98435688,0.969342589,0.015634784,1.00E-04,0.984010339,0.987474203,0.945137203,0.898017287,0.054557625,0.943896115,0.953339398,,,0.948594255
13,0.986380756,0.973230302,0.013610436,1.00E-05,0.986102521,0.98868978,0.948725462,0.90447098,0.050739672,0.945568979,0.959170699,,,0.952321274
14,0.987736762,0.975858688,0.012254748,1.00E-05,0.987339199,0.989986897,0.949566305,0.905961692,0.049889475,0.947539091,0.958934188,,,0.953202585
15,0.988399208,0.977147579,0.01159257,1.00E-05,0.987988055,0.990561664,0.950101733,0.906919003,0.049363445,0.949015677,0.95844388,,,0.953706478
16,0.988949776,0.978218675,0.011042456,1.00E-05,0.988548756,0.99101764,0.95035404,0.907364488,0.049117025,0.949420631,0.958536446,,,0.953956762
17,0.989455104,0.979203522,0.01053756,1.00E-05,0.989069045,0.991440356,0.950530589,0.907678783,0.048938565,0.949709773,0.958575904,,,0.954122242
18,0.989942491,0.980154932,0.010050354,1.00E-05,0.989583731,0.991861224,0.950504601,0.907633722,0.048954457,0.949972034,0.958236217,,,0.95408623
19,0.990418851,0.981086314,0.009573987,1.00E-05,0.990071714,0.992282867,0.950580001,0.907774687,0.04886204,0.950013697,0.958406389,,,0.954191589
