epoch,dice_coef,iou,loss,lr,precision,recall,val_dice_coef,val_iou,val_loss,val_precision,val_recall,,,f1
0,0.839670837,0.738529146,0.160317585,1.00E-04,0.84131074,0.899385035,0.47732836,0.319009393,0.522720754,0.346742332,0.764973402,,,0.477187924
1,0.899122417,0.82393676,0.100892596,1.00E-04,0.901974559,0.92887485,0.644023895,0.487308204,0.355365962,0.518037736,0.916179478,,,0.661846111
2,0.922825575,0.861322284,0.077192612,1.00E-04,0.92459327,0.942592442,0.807601511,0.694003999,0.194642574,0.698155284,0.979359388,,,0.81518802
3,0.936436296,0.884356558,0.063592814,1.00E-04,0.935983241,0.954020441,0.929299831,0.870720029,0.071275808,0.915636778,0.951776683,,,0.933357024
4,0.949804187,0.906302392,0.0502146,1.00E-04,0.946662366,0.965974569,0.93541044,0.881588519,0.06521894,0.92113328,0.958589792,,,0.939488345
5,0.957857847,0.920503139,0.042154085,1.00E-04,0.954774082,0.971088767,0.935116231,0.880902052,0.065469429,0.924281299,0.953806162,,,0.938811655
6,0.963329613,0.930226088,0.036681499,1.00E-04,0.960499287,0.97457999,0.939029813,0.887744606,0.061626457,0.924176931,0.958916724,,,0.941226383
7,0.96732533,0.937521517,0.032666299,1.00E-04,0.964848101,0.976127803,0.941173971,0.891162992,0.059239954,0.936605394,0.952520907,,,0.944496108
8,0.968577027,0.939848304,0.031422183,1.00E-04,0.965969503,0.977158844,0.939012647,0.888224959,0.061212312,0.940489411,0.945052922,,,0.942765644
9,0.970005989,0.942566037,0.029989006,1.00E-04,0.968343973,0.977530301,0.933189392,0.878172219,0.067349628,0.9058218,0.968190134,,,0.935968138
10,0.970555902,0.943541527,0.029449621,1.00E-04,0.968578458,0.977301598,0.933764815,0.879458487,0.066789463,0.914642036,0.960545957,,,0.937032141
11,0.969771624,0.942194104,0.03023389,1.00E-04,0.967716873,0.975554943,0.943821788,0.896448135,0.05649031,0.936184585,0.955771923,,,0.945876861
12,0.976401806,0.954356194,0.023594158,1.00E-04,0.9743554,0.982471406,0.939014614,0.888133228,0.061435103,0.916709185,0.96807605,,,0.941692656
13,0.979817688,0.960786939,0.020177318,1.00E-04,0.977617383,0.984998822,0.940974295,0.891220987,0.058468942,0.950871229,0.93828851,,,0.944537966
14,0.980972588,0.962960541,0.019020049,1.00E-04,0.979155481,0.985662222,0.941500008,0.892177761,0.05852402,0.945690691,0.94341886,,,0.94455341
15,0.979169488,0.959562123,0.020825587,1.00E-04,0.977588952,0.983686268,0.939592779,0.888929546,0.060919218,0.930078268,0.954675257,,,0.942216261
16,0.98078686,0.962594688,0.01920356,1.00E-04,0.979212582,0.984829605,0.941370308,0.891878247,0.059063632,0.926017642,0.963119566,,,0.944204271
17,0.983933687,0.968609631,0.016055435,1.00E-05,0.98272568,0.987363756,0.945493996,0.898982704,0.054891389,0.936793864,0.958874643,,,0.947705655
18,0.985292137,0.97122699,0.014696365,1.00E-05,0.984045267,0.98869592,0.946416438,0.900574446,0.053958602,0.938707173,0.958474815,,,0.94848801
19,0.986035705,0.97266221,0.01395296,1.00E-05,0.984844148,0.989252687,0.946981847,0.901537657,0.053353369,0.940737307,0.957523048,,,0.949055962
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,epoch,loss,val_loss,,,,,,,,
,,,,1,0.160317585,0.522720754,,,,,,,,
,,,,2,0.100892596,0.355365962,,,,,,,,
,,,,3,0.077192612,0.194642574,,,,,,,,
,,,,4,0.063592814,0.071275808,,,,,,,,
,,,,5,0.0502146,0.06521894,,,,,,,,
,,,,6,0.042154085,0.065469429,,,,,,,,
,,,,7,0.036681499,0.061626457,,,,,,,,
,,,,8,0.032666299,0.059239954,,,,,,,,
,,,,9,0.031422183,0.061212312,,,,,,,,
,,,,10,0.029989006,0.067349628,,,,,,,,
,,,,11,0.029449621,0.066789463,,,,,,,,
,,,,12,0.03023389,0.05649031,,,,,,,,
,,,,13,0.023594158,0.061435103,,,,,,,,
,,,,14,0.020177318,0.058468942,,,,,,,,
,,,,15,0.019020049,0.05852402,,,,,,,,
,,,,16,0.020825587,0.060919218,,,,,,,,
,,,,17,0.01920356,0.059063632,,,,,,,,
,,,,18,0.016055435,0.054891389,,,,,,,,
,,,,19,0.014696365,0.053958602,,,,,,,,
,,,,20,0.01395296,0.053353369,,,,,,,,
